"Donor","Group","Cell","CCR10","CD278","IFNGRB","CD46","CD70","CD1a","CD2","B7H4","CD10","CD100","CD105","CD106","CD107a","CD107b","CD109","CD111","CD112","CD114","CD116","CD117","CD119","CD11a","CD11b","CD122","CD123","CD126","CD127","CD13","CD131","CD134","CD135","CD137","X4.1BBL","CD138","CD140a","CD140b","CD141","CD142","CD143","CD146","CD148","CD15","CD150","CD151","CD154","CD156c","CD158e1","CD162","CD163","CD164","CD165","CD166","CD169","CD170","CD172a.b","CD172g","CD178","CD179a","CD179b","CD18","CD180","CD182","CD183","CD185","CD191","CD194","CD1b","CD1c","CD200","CD200R","CD202b","CD203c","CD205","CD206","CD207","CD21","CD213A1","CD213A2","CD218a","CD221","CD223","CD226","CD227","CD229","CD23","CD231","CD244..2B4.","CD245","CD252","CD261","CD262","CD263","CD266","CD268","CD271","CD275","CD276","CD147","CD279","CD28","CD29","CD290","CD298","CD30","CD300c","CD309","CD31","CD314","CD317","CD324","CD325","CD328_clone_6-434","CD33","CD334","CD335","CD336","CD337","CD34","CD340","CD344","CD35","CD354","CD360_clone_17A12","CD365","CD366","CLEC4A","CD36L1","CD39","CD40","CD41","CD42b","CD43","CD44","CD47","CD48","CD49a","CD49b","CD49c","CD49d","CD5","CD50","CD54","CD55","CD58","CD6","CD61","CD62E","CD62L","CD62P","CD63","CD64","CD69","CD73","CD74","CD79b","CD80","CD81","CD82","CD83","CD85_clone_17G10.2","CD85k","CD87","CD89","CD9","CD90","CD93","CD94","CD96","CD97","CD99","CXCL16","DLL1","DLL4","DR3","EGFR","GPR19","GPR56","HLA.E","HVEM","Ig.light.chain.κ","IgM","CD360_clone_2G1-K12","Integrin.α9β1","Jagged.2","Ksp37","LAP","LY6G6D","MERTK","MSC","MSC.NPC","TNAP","MUC.13","NKp80","Notch.1","Notch3","Notch.4","NPC","CD352","PSMA","ROR1","Siglec.10","CD328_clone_S7.7","Siglec.8","Siglec.9","SSEA.5","SUSD2_clone_W5C5","TCR.α.β","Tim.4","TLT.2","TM4SF20","TRA.2.49","TRA.2.54","TSLPR","VEGFR.3","CD133","APCDD1","CD272","CD198","CCRL2","CD102","CD104","CD124","CD130","CD144","CD152..CTLA.4.","CD155","CD158b","CD184","CD186","CD192","CD197","CD199","CD209","CD217","CD230..Prion.","CD24","CD243","CD26","CD269","CD282","CD284","CD301","CD303","CD304","CD307e","CD323","CD357..GITR.","CD36","CD369","CD370","CD371","CD45RO","CD51","CD59","CD7","CD71","CD84","CD88","CD355","erbB3","FPR3","Ganglioside.GD2","GPR83","Ig.light.chain.λ","IgD","IL.28RA","integrin.β5","KLRG1","LOX.1","MICA.MICB","SUSD2_clone_W3D5","Notch.2","TACSTD2","TIGIT..VSTM3.","C3aR","CCX.CKR..CCRL1.","CD11c","CD129","CD158","CD181","CD193","CD196","CD1d","CD20","CD22","CD220","CD235ab","CD258","CD274","CD319","CD32","CD326","CD338","CD368","CD45RB","CD49e","CD52","CD66a.c.e","CD85h","CD85_clone_GHI/75","CD86","CD92","CXCR7","Delta.Opioid.Receptor","Dopamine.Receptor.D1..DRD1.","EphA2","FcεRIα","GARP","CD215","Lymphotoxin.β.Receptor","MRGX2","TMEM8A","CD254","CD318","CD255","SSEA.4","Sialyl.Lewis.X..dimeric.","TRA.1.81","CD160","CD57","CD66b","TRA.1.60.R","CD115","CD201","CD120b","CD210","CD267","CD294","CD49f","CD85_clone_MKT5.1","CD85d","IgG.Fc","Integrin.β7","XCR1","Podoplanin","CD132","CD195","CX3CR1","SSEA.3"
"Preg3","Pregnant","CD4",98.59,97.59,13.59,88.43,1.13,0,90.63,0,1.03,87.33,89.93,0,74.53,9.53,14.63,0,0,0,5.53,10.93,23.03,90.63,10.03,0,0,14.33,86.93,6.73,0,18.43,0,0,13.03,0,0.63,7.53,4.63,0,9.83,0,36.63,4.53,30.03,9.23,5.33,90.63,0,89.03,0,86.73,38.03,25.23,56.33,0.54,0,77.73,0,8.33,0,90.63,0,0,71.23,19.63,10.03,55.93,3.03,0,21.43,76.53,0,4.33,89.83,11.43,0,0,5.43,5.73,43.83,3.33,0,78.93,27.73,89.93,0,2.23,11.73,0.73,4.93,5.43,0,6.73,0,0,0,0,9.23,90.63,11.23,88.33,90.63,0,90.63,0,27.63,0,34.13,0,60.43,1.03,3.13,2.23,0.39,0,0,0,0,0,0,4.23,0,8.03,14.33,17.13,0,9.83,0,3.13,0,0,0,90.63,90.63,90.63,90.63,9.03,0,29.43,79.83,90.63,90.63,27.13,86.13,88.03,90.63,24.63,0,47.13,0,32.83,23.13,0,14.03,4.63,37.83,0,90.63,89.43,5.03,0,0,8.23,0,42.33,0,0,0,29.73,90.13,90.53,3.63,0,0,0,0,1.63,4.23,90.43,90.53,0,0,2.23,0.52,5.23,0,0,0,0.93,1.33,63.43,0,0,0,0,0,0,7.53,90.53,0,0,0,2.33,0.51,0,0,0,90.63,0,1.23,0.01,0,0,0,1.83,0,0,80,23.5,4.9,88,0,0,31.6,0,0,0,0,87.3,0,20,81.9,8.7,0,52.2,81.7,3,18.7,80.3,0,0,2,11.6,0,0,0,1.2,7.8,10.1,0,0,0,46.9,0.1,88.1,84.3,45.7,40.9,1,0,0,0,0,7,0,5.4,0,0.4,10.1,0,0,0.3,2.3,0,3,12.05,9.35,9.65,8.05,2.66,10.75,6.65,25.05,8.75,8.25,9.05,4.65,0,3.85,57.45,10.45,15.35,0,2.62,3,91.95,81.75,93.65,17.95,2.46,5.05,0,37.35,8.05,5.15,5.75,5.85,0,0,8.35,4.25,7.55,15.65,6.65,0,4.87,0,0.79,0.54,7.89,11.87,0,0,20.07,8.23,7.18,30.68,0,8.98,89.98,8.28,12.28,0,47.28,7.48,7.08,75.95,31.85,15.25,0
"NonP4","Nonpregnant","CD4",99.17,98.37,12.97,88.12,0,0,91.92,0,0,69.52,91.82,0,80.72,8.72,7.82,0,0,0,4.82,0,31.22,92.12,8.82,0,0,45.82,86.82,3.82,0,16.12,0,0,10.22,0,0,5.72,2.62,0,13.62,0,29.42,1.22,39.42,24.82,4.82,92.12,0,90.92,0,87.72,32.32,18.52,57.02,0,1.4,83.32,0,6.02,0,92.12,0,0.82,75.02,24.32,8.42,61.52,0.59,0,19.42,65.42,0,4.92,89.32,13.02,0,6.22,0.44,4.82,41.62,0,0,78.52,12.62,91.32,0,0,21.82,0,3.22,4.52,0,5.02,0,10.52,0,0,6.62,92.12,16.92,84.22,92.12,0,92.12,0,18.12,0,35.22,6.42,75.42,0,1.4,0,0,0,0,0,0,0,0,6.22,10.32,10.62,19.42,12.12,0,3.62,0,0,0,15.22,0,92.12,92.12,92.12,92.12,18.82,0,26.72,81.82,92.12,92.12,23.32,86.82,83.02,91.92,47.02,0,52.22,0,30.22,17.62,0,21.92,6.12,37.22,0,92.12,91.52,3.32,0,0,3.92,0,64.82,0,1.03,2.92,29.42,87.02,91.82,1.62,0,0,0,0,1.86,8.02,91.92,91.92,0,0,2.22,0,2.32,0,0,0,1.64,0.62,60.52,0,0,0,0,0,0,5.72,91.92,0,0,0,0.32,0,0.28,0,0,92.12,0,0.51,0,0,0,0,1.2,0,0,72.1,21.3,3.9,89.4,0,0,44,0,0,0,0,87.8,0,21.5,79.4,10.7,0,45.2,82.8,2.6,20,73.4,0,0,0,6.5,0,0,0,0.3,5.9,17.8,0,0,0,52.1,0,89.6,84.2,14.7,68.9,0,0,0,0,0,5.2,0,4.3,0,0,30.2,0,0,0,0,0,7.8,9.85,9.25,8.45,5.95,0.83,15.65,5.95,21.85,7.05,8.95,8.65,2.76,0,2.67,46.65,12.95,16.55,0,1.46,1.12,92.35,86.15,95.55,3.97,2.36,9.55,0,41.25,5.39,4.05,5.43,4.36,0,0,6.45,2.18,5.53,31.85,5.75,0,4.76,0,1.03,0.43,4.55,19.6,0.08,0,14,4.83,8.01,40.51,0,6.89,91.01,0.78,9.61,0,35.01,6.45,5.3,63.24,34.54,16.24,0
"NonP2-1","Nonpregnant","CD4",98.87,98.57,13.47,88.67,0,0,90.97,0,0,80.77,89.57,0,57.07,3.87,5.07,0,0,0,4.57,0,22.77,91.17,1.37,0,0,63.47,88.47,2.67,0,10.07,0,0,10.57,0,0,5.17,1.97,0,6.67,0,7.37,1.17,31.97,14.87,0,91.17,0,90.27,0,89.67,38.47,14.47,53.17,0,0,88.97,0,6.97,0,91.17,0,0,70.87,24.87,8.47,60.07,1.77,0,16.47,63.97,0,5.17,90.97,15.77,0,1.77,1.57,5.37,38.77,0,0,82.37,11.47,91.07,0,0,4.67,0,3.77,4.47,0,5.27,0,0.9,0,0,7.47,91.17,7.57,91.07,91.17,0,91.17,0,21.57,0,34.17,0,64.47,0,1.67,0,0,0,0,0,0,0,0,1.47,6.37,0,16.07,7.77,0,2.67,0,2.77,0,0,0,91.07,91.17,91.17,91.17,5.57,0,20.67,78.67,91.17,91.17,6.57,88.87,82.37,91.17,24.57,0,51.37,0,16.87,14.47,0,22.87,3.47,32.27,0,91.17,89.57,2.87,0,0,2.87,0,45.47,0,0,0,18.07,84.17,91.17,1.97,0,0,0,0,0.4,0,90.97,91.17,0,0,1.77,0,0.2,0,0,0,0,0,58.97,0,0,0,0,0,0,4.97,90.97,0,0,0,0,0,0,0,0,91.17,0,0,0,0,0,0,0,0,0,80.4,17.1,1.6,89.6,0,0,32.7,0,0,0,0,86.4,0,18.9,87.5,9.2,0,30.7,59.7,1.9,11.5,80.6,0,0,0,6.1,0,0,0,0,0.4,6.9,0,0,0,45.2,0,90,87.2,11.3,41.1,0.4,0,0,0,0,5.4,0,5,0,0.2,6,0,0,0,0.4,0,7.8,7.93,11.03,9.23,8.03,1.97,9.83,8.63,29.03,11.33,12.43,9.73,4.5,0,4.26,43.23,4.97,14.03,0,2.91,3.41,93.83,90.93,95.83,5.03,2.55,3.45,0.08,43.43,7.93,5.83,6.23,6.33,0,0,7.43,4.24,7.63,21.63,6.83,0,4.92,0,0.32,0,5.61,1.51,0,0,14.85,6.64,6.84,30.61,0,9.01,93.51,2.56,10.51,0,45.31,6.55,6.62,81.22,21.52,9.57,0
"NonP3-1","Nonpregnant","CD4",99.18,96.38,12.68,87.96,0,0,92.16,0,0,41.36,91.06,0,62.26,4.36,2.96,0,0,0,3.76,0,15.96,92.26,2.08,0,0,62.06,87.96,3.36,0,17.56,0,0,7.96,0,0,5.76,1.38,0,7.96,0,11.16,0,33.36,12.46,1.23,92.26,0,90.76,0,89.26,27.46,32.26,41.36,0,0,89.96,0,5.06,0,92.26,0,0,71.46,21.36,6.76,60.26,1.5,0,7.66,67.26,0,3.76,90.26,13.96,0,0,1.73,4.86,24.96,0,0,80.56,22.36,91.96,0,0,5.26,0,3.16,3.76,0,4.16,0,0,0,0,5.86,92.26,5.86,92.26,92.26,0,92.26,0,16.76,0,31.66,0,75.16,0,1.16,0,0,0,0,0,0,0,0,2.86,0,0,6.86,4.06,0,0,0,3.86,0,2.46,0,92.06,92.26,92.26,92.26,4.36,0,34.36,69.76,92.26,92.26,20.86,88.96,85.16,92.16,33.26,0,46.96,0,22.36,12.96,0,16.76,2.76,22.06,0,92.26,90.06,3.36,0,0,3.16,0,63.36,0,0,0,20.36,88.56,91.56,1.49,0,0,0,0,0,0,91.76,92.06,0,0,0.09,0,0,0,0,0,0,0,54.86,0,0,0,0,0,0,4.36,92.06,0,0,0,0,0,0,0,0,92.26,0,0,0,0,0,0,0,0,0,77.54,20.34,0,90.64,0,0,6.64,0,0,0,0,88.84,0,20.44,87.74,7.24,0,20.04,89.44,0.17,10.64,83.74,0,0,0,5.24,0,0,0,0,2.14,9.24,0,0,0,47.24,0,91.04,87.94,36.24,46.44,0,0,0,0,0,1.94,0,2.34,0,0,14.14,0,0,0,0,0,3.94,6.58,9.51,8.41,6.18,2.24,7.51,8.01,20.41,5.95,8.61,10.01,4,0,3.34,37.11,4.19,12.01,0,2.49,2.34,94.21,83.91,96.91,17.81,1.89,3.63,0.18,20.71,6.21,5.67,5.01,5.05,0,0,7.11,3.5,6.39,5.62,7.21,0,5.49,0,0.01,0,4.63,1.67,0,0,11.9,4.59,6.47,27.71,0,7.21,91.61,7.11,8.51,0.56,38.71,6.34,7.31,55.03,24.83,6.21,0
"NonP1-1","Nonpregnant","CD4",99.3,98.5,14.6,88.91,0,0,91.41,0,0,42.41,91.01,0,69.01,5.61,5.71,0,0,0,5.71,0,17.51,91.61,3.61,0,0,61.11,89.41,6.71,0,7.11,0,0,11.81,0,0,6.91,4.61,0,7.31,0,10.81,4.11,22.01,16.11,0.96,91.61,0,90.41,0,83.71,43.01,26.31,51.41,0,0,90.71,0,8.61,0,91.61,0,0,76.21,20.01,9.41,63.71,2.11,0,26.31,73.81,0,5.91,91.11,8.71,0,0,3.81,8.01,31.91,3.11,0,81.01,10.21,91.31,0,2.01,15.21,0,5.31,6.81,0,6.21,0,0,0,0,9.31,91.61,5.51,91.61,91.61,0,91.61,0,28.21,0,37.11,0,82.01,1.37,4.41,1.61,1.01,0,0,0,0,0,0,4.91,0,0,22.51,11.71,0,2.71,0,4.61,0,4.81,0,91.61,91.61,91.61,91.61,2.41,0,28.21,80.91,91.61,91.61,10.71,89.51,87.21,91.51,42.11,0,62.71,0,23.51,20.71,0,27.21,4.51,49.31,0,91.51,91.21,5.11,0,0,5.11,0,62.11,0,0,0,22.71,87.21,91.61,3.41,0,0,0,0,2.21,0.2,91.31,91.61,0,0,2.61,0,2.91,0,0,0.46,1.55,0.3,69.71,0,0,0,0,0,0,7.81,91.51,0,0,0,1.29,0.38,0,0,0,91.61,0,1.18,0.62,0,0,0,2.01,0,0,79.8,24.8,2.1,87.5,0,0,58.3,0,0,0,0,86.8,0,14.3,86,8.3,0,51,73.8,2.4,19,80.6,0,0,0,7.9,0,0,0,0,0,6.1,0,0,0,43.5,0,87.8,84,19,33,0,0,0,0,0,5.7,0,4.1,0,0,31.7,0,0,0,0,0,0.4,5.86,9.36,9.36,7.56,1.16,11.26,8.76,14.06,10.96,9.86,9.86,4.16,0,4.62,46.86,3.56,15.16,0,2.06,2.01,93.46,85.86,94.76,5.76,1.64,2.38,0,47.16,6.16,4.58,5.76,5.16,0,0,8.66,3.88,8.06,25.86,6.76,0,6.27,0,0,0,4.12,0.85,0,0,18.96,6.91,7.15,29.95,0,9.05,93.05,3.79,10.45,0.55,48.15,8.05,8.55,68.63,23.93,10.13,0
"Cord1","Cord","CD4",98.42,98.42,21.82,75,0,0,83.7,0,0,78.1,83.8,0,72.8,1.7,6.2,0,0,0,7.8,7.5,20.9,83.9,0,0,0,53.8,82.2,4.5,0,0,0,0,17.6,0,0,6.2,1.7,0,3.8,0,5.1,18.1,0.7,0,0.9,83.9,0,77.5,0,57,0,3.8,9.6,0,0,83.3,0,9.2,0,83.9,0,0,70,23.7,12.2,73.7,1.5,0,65.6,68.6,0,6.2,81.3,4.4,0,22.2,2.7,8.5,22,0,0,80.8,1.5,83.7,0,0,0,0,4.9,4.1,0,8.7,0,0,0,0,8.9,83.9,0,83.9,83.9,0,83.9,0,29.5,0,49.1,0,26.4,0,4.1,0,0,0,0,0,0,0,0,0,7.6,0,54.3,7.6,0,0,0,0,0,0,0,83.8,83.9,83.9,83.9,36,0,0,81.1,83.9,83.9,0,82.9,83,83.9,0,0,55.3,0,10.1,29.8,0,0.6,3,56.4,0,83.8,83.9,3.3,0,0,1.2,0,40.9,0,12.6,0,9.7,74.5,83.9,1.9,0,0,0,0,0,0,82.5,83.7,6.4,12.4,15.3,0,0,0,0,0,0,0,72.3,0,0,0,0,0,0,5.4,81.3,0,0,0,0,0,0,0,0,83.9,0,0,0,0,0,0,0,0,0,77.7,32.1,9.4,73.1,0,0,60.4,0,0,0,0,78.3,0,9.3,82.2,15.2,0,52.4,41,15.9,59.1,81.6,0,0,0.2,17.4,0,0,0,0,0,0.8,0,0.5,0,33.1,0,82.4,82.3,14.7,4.2,0,0,0,0,0,14.2,2,20.2,0,0,57,0,0,0.5,0,0,0,11.81,20.51,15.11,16.81,4.91,19.51,16.71,22.31,29.21,37.61,17.41,11.31,0,7.21,45.31,10.01,25.51,0,6.71,7.61,93.01,86.61,93.61,28.31,7.11,6.61,0.89,68.51,17.41,13.01,9.51,11.51,0,0,17.31,9.71,19.71,30.81,16.61,0,8.2,0,0.43,0,8.89,0,0,0,33.85,13.15,13.78,19.38,0,12.18,90.08,0.92,20.48,1.14,52.18,10.08,13.88,67.12,29.82,20.82,0
"Cord2","Cord","CD4",98.55,98.55,28.15,74.3,0,0,78.1,0,0,53.2,78.7,0,64,1.6,5.5,0,0,0,8.9,0,14.2,78.8,0,0,0,17.3,74.2,3.1,0,0.6,0,0,20.2,0,0,8.1,2.6,0,4.2,0,4.2,0,5.9,0,0,78.8,0,75.2,0,58.2,0,4.7,0,0,0,77.6,0,6.9,0,78.8,0,0,69.2,24,17.4,68.4,1.3,0,37.3,63.9,0,10,74.8,4.5,0,8.7,0,8.3,17.2,0,0,70,2.6,78.3,0,0,0,0,5.2,9,0,9,0,0,0,0,8.2,78.8,0,78.8,78.8,0,78.8,0,26.4,0,49.8,0,30.3,1.7,4.1,0,0,0,0,0,0,0,0,0.1,0.4,0,29.4,1.5,0,2.7,0,0,0,0,0,78.6,78.8,78.8,78.8,12.2,0,0.4,76.7,78.8,78.8,0,77.9,78.8,78.8,0,0,40.7,0,3.4,22.3,0,16.7,4.8,55.5,0,78.8,78.4,4.4,0,0,1.2,0,36.6,0,7,0,1.9,64.6,78.7,4.4,0,0,0,0,1.5,0,70.4,78.4,0,10,7,0,0,0,0,0,0,0,68.3,0,0,0,0,0,0,9.7,76.6,0,0,0,0,0,0,0,0,78.8,0,0,0,0,0,0,0,0,0,53.5,34.9,1.5,66.5,0,0,47,0,0,0,0,69.6,0,7.5,73.9,19,0,25,23.9,16.9,55.3,72.3,0,0,0,13.7,0,0,0,0,0,0,0,0,0,5.8,0,74.3,74.2,1.6,0,0,0,0,0,0,10,0,14.6,0,0,45.8,0,0,0,0,0,0,12.1,23.2,13.8,18.7,5.4,19.6,16.2,17.4,18,39.4,18.8,5.5,0,5.8,46.8,7.3,19.5,0,3.5,2.6,87.7,86,88.1,32.5,2,4.5,0,52.4,19.9,13.9,10.8,10.2,0,0,16.6,6.7,17.2,18.8,16,0,13.4,0,0,0,14.7,0,0,0,40.23,16.53,17.06,24.06,0,18.36,88.06,1.89,27.46,0,26.26,17.46,18.56,62.46,34.56,25.06,0
"Dec2","Decidua","CD8",95.25,86.55,25.45,61.8,1.8,0,76.6,0.6,0,55.2,37.4,0,68.9,13,8.1,0,0,0,8.7,0,33.3,76.6,31.6,0,0,0,29.8,6,0,0,0,0,9.2,0,0,11.8,8.3,0,4.8,0,44.5,17.7,31.7,34.1,0,76.6,0,39.7,0,73.6,0.8,23.5,0,0,0,63.4,0,7.2,0,76.6,0,0,70.6,64,18.9,49.4,3.6,0,1.1,39.9,0,11.5,76,10.4,0,0,10.2,5.8,33.3,0,0,50.4,4,75.3,0,0.6,51.5,0,10.6,14.2,0,6.5,0,0,0,0,11.8,76.6,13.3,48.5,76.6,0,76.6,0,28.4,0,61.7,74.3,74.6,0,3.8,0,0.7,0,0,0,0,0,0,2.5,0,0,11.9,1.6,0,0,0,0,0,0,0,76.4,76.6,76.6,76.6,0.8,0,6.6,72.2,74,76.6,42.1,41.7,76.2,75.2,0,0,0,0,57.9,20.4,0,24.2,18.3,29.6,0,76.4,68.8,8.3,0,0,2.9,0,18,0,0,17.7,1.7,69.1,26,1.8,0,0,0,0,0,15.2,75.3,67.3,0,0,4,0,0,0,0,0,0,0,54.3,0,0,0,0,0,0,5,76.1,0,0,0,0,0,0,0,0,76.1,0,0,1.9,0,0,0,0,0,0,17.7,21.1,0,56.3,0,0,0,0,0,0,0,71.3,0,20.9,35,7.8,0,0,6.7,1.4,40,30,0,0,0,12.8,0,0,0,0,0,0,0,0,0,30.2,0,71.4,70.1,0,54.8,0,0,0,0,0,7.6,0,5.7,0,0,43.9,0,0,0.7,0,0,11.8,22.35,27.75,36.75,20.95,11.65,70.25,26.25,26.15,15.55,11.25,22.95,13.55,0,15.85,63.15,68.85,42.45,0,6.25,12.55,79.45,71.65,90.95,18.15,11.15,30.15,4.25,10.45,24.05,18.05,23.05,23.25,0,0,25.15,12.35,20.35,12.75,24.05,0,5.3,0,9.18,0,34.98,32.08,0,0,43.49,19.69,21.87,46.67,0,17.07,58.27,2.77,27.47,0.66,42.37,17.27,19.07,79.8,72.9,53.3,0
"Dec1","Decidua","CD8",98.6,90.5,26.5,74.4,3.5,0,79.3,0,3.4,60,78.5,0,67.7,6.5,9.5,0,0,0,12.9,0,37.7,79.3,24.6,0,0,0,27.2,6.5,0,0.2,0,0,24.9,0,0,2.5,5.3,0,0,0,33.5,15.2,37.6,34.9,0,79.3,0,31.6,1,75.6,0.3,16.1,28.4,4,1.3,76.2,0,2.6,0,79.3,0,0,75.6,74.6,27.8,44.2,0,0,10.6,63.9,0,3.1,77.9,36.1,0,0,0,11.4,41.9,0,0,44.2,0,77.8,0,3.3,54.3,0,3.5,3.6,0,6.5,0,0,0,0,35.5,79.3,39.3,70.7,78.4,0,79.3,0,33.8,0,68,74.9,73.1,0,0,7.3,7,0,0,0,0,0,0,10.3,0,0,6.8,4.7,0,0,0,15.2,0,0,0,79.3,79.3,79.3,79.3,40.1,0,23.9,79.3,78.5,79.3,42.3,52.2,79.3,78.6,1,0,0,0,66.6,63.5,34.1,30.7,27.7,28.6,0,79.3,78.6,7.1,0,0,1.7,0,42.2,0,0,19.9,28,78.1,37.9,3.5,0,0,0,0,6.8,3.8,79.3,77.7,35.4,0,7.5,0,0,0,0,0,0,0,60.1,0,0,0,0,0,0,4.8,79.3,0,0,0,15.5,0,0,0,0,77.9,0,0,0.9,0,0,0,0,0,0,39.9,24,3.6,46.8,0,0,0,0,0,0,0,63.1,8.3,27.3,46,9.1,0,0,7.2,5.8,34.5,37.4,0,0,0,17.7,0,0,0,0,0,23.7,0,4.4,0,33.8,0,63.1,61.6,18.2,49.5,6,0,0,4.7,0,9,11.6,8.4,0,9.7,51.8,0,0,0.1,0,0,21.4,14.9,20.5,33.3,12.2,3.5,83.1,18,19.3,12.5,22.7,15,19.9,0,14.7,72.1,59.3,75,0,3.6,12.1,82.6,77.9,89.4,10.7,4.7,19,0,11.8,19.2,6.2,11.4,14.4,0,0,14.6,11.9,15.8,29.9,17.8,0,0,0,15.7,0.74,26.6,33.1,18.1,0,28.6,12.1,15.34,44.34,0.35,16.84,71.14,0.54,17.54,40.34,50.24,12.74,14.44,86.19,76.79,36.09,0
"Dec4","Decidua","CD8",94.07,84.17,35.77,53.7,0,0,66.9,0,0,44.3,66.2,0,61.7,16,10.5,0,0,0,10.6,0,25.2,66.9,13,0,0,0,28.9,9.7,0,1.3,0,0,27,0,0,8.4,9.1,0,4,0,33.6,7.3,22.2,20.7,0,66.9,0,20.9,0,64.4,0,13.7,5.1,0,0,52.2,0,11.8,0,66.9,0,0,66.5,59.5,24,51.9,4.1,0,6.8,33.4,0,10.6,65,37.5,0,0,2.4,9.3,42.5,0,0,53.5,0,66.9,0,7.3,39.2,0,11.3,11.8,0,10.7,0,0,0,0,15.8,66.9,10.8,47.6,66.9,0,66.9,0,30.2,0,54.1,63.8,63.4,1.6,12.3,0,2.5,0,0,0,0,0,0,0,0,0,15.7,21.7,0,0,0,0,0,0,0,57.2,66.9,66.9,66.9,5.4,0,2.8,63.3,65.8,66.9,13.2,38.7,66.5,66.1,0,0,0,0,46.4,45.6,0,35.6,12.3,42.1,0,66.5,63.8,4.7,0,0,5.3,0,26,0,0,16.7,0,61.2,49.1,8.4,0,0,0,0,0,7.6,62.8,65.5,0.8,0,1.8,0,0,0,0,0,0,0.1,60.1,0,0,0,0,0,0,10.1,66.2,0,0,0,0,0,0,0,0,66.1,0,0,3.4,0,0,0,1.3,0,0,29.7,30.2,0,53,0,0,0,0,0,0,0,61.6,0,15.9,40.1,17.9,0,0,5.6,4.8,45.5,35.5,0,0,0,20.9,0,0,0,0,0,7.6,0,2.6,0,11,0,63.5,61.9,1.7,38.9,0,0,0,0,0,16.5,0,16.7,0,3.2,44,0,0,2.9,0.4,0,4.7,24.3,31,34.1,25.7,5.8,72.9,22.4,42.6,22.7,5.2,25,17.8,0,20.1,72.9,54.6,61,0,7.1,14.1,77.3,69.9,82.9,16.4,12.4,33.4,0.2,15.3,24.6,23.7,20.1,17.2,0,0,20.7,17.6,28.7,22.9,28.4,0,2.2,0,0,0,21.41,6.41,0,0,60.31,28.61,29.26,61.16,0,23.36,59.46,10.66,40.76,16.66,47.56,26.26,27.56,84.1,78.4,54.3,0
"Dec3","Decidua","CD8",94.39,89.49,25.49,64.8,4.2,0,74.2,0.2,0,59.3,73.8,0,69.8,17.5,14,0,0,0,7.9,0,32.3,74.2,47.8,0,0,0,23.4,12,0,0,0,0,18.2,0,0.3,8.4,4.4,0,1.2,0,44.6,28.1,22,37.9,0,74.2,0,47.7,0,70,0.7,31.2,17.5,0.9,0,31.1,0,7.7,0,74.2,0,0,66.1,70.2,19.2,44,6.7,0,8.2,34,0,5.3,71.9,12.8,0,0,10.1,6.8,46.7,0,0,65.5,5.9,71.4,0,4.1,58,0,4.9,8.4,0,9.4,0,0,0,0,15.8,74.2,15.3,37.4,74.2,0,74.2,0,24.9,0,52.7,73.1,71.5,0,9.1,5.7,5.2,0,0,0,0,0,0,6.3,0,0,28.1,8.9,0,0,0,12,0,0,0,73.8,74.2,74.2,74.2,15.9,0,6.9,73.5,74,74.2,46.1,48.3,74,74.2,0,0,0,0,58.5,59.3,0,19.7,10.8,38.6,0,74.2,70.5,4.9,0,0,6.4,0.7,45.4,0,0,43.2,9.5,65.3,44.7,8.4,0,0,0,0,5,23.2,73.9,72.4,20.9,0,6.4,0.2,1.5,0,0,1.8,0.3,1,50.7,0,0,0,0,0,0,7.2,74.2,0,0,0,9.7,0,0,0,0.1,74.2,0,0,1.1,0,0,0,3,0,0,24.7,29.2,0,61.1,0,0,0,0,0,0,0,64,0,23.8,30.2,15.3,0,1.3,9.1,13.8,38.5,41.1,0,0,0,18.2,0,0,0,0,0,24.9,0,0,0,45.8,0,64.7,61.8,27.8,44.3,7.4,0,0,0,0,10.1,0,10.4,0,3.9,43.9,0,0,0,0,0,4.8,16.3,30.6,48.2,19.3,10.4,81.3,17.7,22.8,28.2,10.2,17.3,13.7,0,11.4,81.2,65.5,58.4,0,9.7,7.8,73.9,78.1,86.3,12.3,7.6,34.5,9.6,17.5,17.2,16.8,13.5,14.5,0,0,15.7,13.4,17.5,23.1,18.6,0,0.7,0,12.28,0,38.98,31.18,1.21,0,41.46,20.56,18.97,46.87,0,19.17,61.97,7.77,25.47,20.87,28.37,21.07,20.87,85.34,72.14,63.44,0
